ID,ComplainDate,CompletionDate,CustomerID,BrokerID,ProductID,ComplainPriorityID,ComplainTypeID,ComplainSourceID,ComplainCategoryID,ComplainStatusID,AdministratorID,ClientSatisfaction,ExpectedReimbursement
138,2/7/2012,2/23/2012,1901780,10764,24,2,3,1,13,9,98,N/A,0
139,2/8/2012,2/13/2012,1796691,8569,21,1,3,5,13,9,98,NSA,0
140,2/8/2012,2/23/2012,888196,11230,74,1,5,5,11,9,98,N/A,0
141,2/8/2012,2/22/2012,1818182,238,9,1,3,5,10,9,98,SAT,0
142,2/8/2012,2/28/2012,2358456,10749,16,1,3,5,11,9,98,N/A,0
143,2/10/2012,2/28/2012,2155412,645,47,1,3,5,11,9,98,SAT,0
144,2/10/2012,3/2/2012,2204509,2128,8,1,3,5,11,9,98,SAT,0
145,2/10/2012,3/6/2012,547515,9892,29,1,3,5,11,9,98,NSA,0
146,2/10/2012,2/16/2012,105976,11099,39,1,7,5,10,9,98,SAT,0
147,2/13/2012,2/21/2012,1795164,10991,53,1,3,5,11,9,98,N/A,0
148,2/13/2012,5/15/2012,311670,12414,11,1,3,1,18,9,98,N/A,0
149,2/13/2012,2/29/2012,2307081,11545,57,1,5,5,11,9,98,SAT,0
150,2/13/2012,3/8/2012,395388,9361,19,1,3,5,10,9,98,N/A,0
151,2/13/2012,3/15/2012,2413323,9601,21,2,3,1,40,9,98,SAT,0
152,2/14/2012,3/1/2012,1874665,10644,23,1,2,1,42,9,98,N/A,0
153,2/14/2012,3/13/2012,552622,2601,63,1,4,5,11,9,98,SAT,0
156,2/15/2012,3/19/2012,863408,10127,51,1,3,2,13,9,98,NSA,0
158,2/15/2012,2/15/2012,1908634,11461,29,2,7,3,18,9,98,SAT,0
159,2/15/2012,4/19/2012,306544,8399,6,2,3,4,10,9,98,N/A,0
160,2/16/2012,3/16/2012,2154466,10361,31,2,2,1,2,9,98,SAT,0
161,2/16/2012,3/28/2012,77496,12181,29,1,3,5,11,9,98,SAT,0
162,2/16/2012,3/23/2012,2184361,1419,4,2,3,5,50,9,98,NSA,0
163,2/17/2012,4/2/2012,58265,2613,72,1,3,1,11,9,98,SAT,0
164,2/17/2012,3/21/2012,853273,11980,36,2,3,5,10,9,98,SAT,0
165,2/17/2012,3/8/2012,149896,8939,47,1,3,1,15,9,98,SAT,0
166,2/17/2012,3/21/2012,104661,11193,28,1,5,3,18,9,98,N/A,0
167,2/20/2012,3/19/2012,173718,12475,18,1,3,1,11,9,98,NSA,0
168,2/20/2012,3/29/2012,63257,10637,14,1,3,5,11,9,98,N/A,0
169,2/20/2012,3/7/2012,464912,11179,67,2,7,3,18,9,98,NSA,0
170,2/20/2012,4/2/2012,2226308,9633,50,2,3,1,50,9,98,N/A,0
171,2/20/2012,3/2/2012,1854465,1292,36,1,3,5,11,9,98,NSA,0
172,2/20/2012,4/3/2012,2217262,9998,30,1,4,5,50,9,98,N/A,0
173,2/21/2012,3/13/2012,2203794,11482,52,1,3,5,11,9,98,SAT,0
174,2/21/2012,4/20/2012,294628,8113,7,1,3,5,50,9,98,SAT,0
175,2/21/2012,2/21/2012,1649784,12572,55,2,7,5,34,9,98,SAT,0
176,2/21/2012,2/28/2012,578691,2230,17,2,3,1,13,9,98,N/A,0
177,2/22/2012,3/21/2012,1759166,1309,58,1,7,1,10,9,98,SAT,0
178,2/23/2012,3/7/2012,458059,11005,32,1,3,5,11,9,98,NSA,0
179,2/23/2012,3/13/2012,1732571,11148,23,1,3,5,13,9,98,NSA,0
180,2/23/2012,3/23/2012,1683172,1896,76,2,3,5,2,9,98,N/A,0
181,2/24/2012,3/26/2012,343340,11001,19,2,3,5,13,9,98,NSA,0
182,2/24/2012,3/8/2012,2138307,11011,76,1,5,5,15,9,98,SAT,0
183,2/24/2012,3/14/2012,557918,8432,62,2,3,5,10,9,98,N/A,0
184,2/28/2012,3/27/2012,794804,994,20,2,3,1,18,9,98,NSA,0
185,2/28/2012,3/9/2012,513997,12120,28,1,4,5,42,9,98,SAT,0
186,2/28/2012,4/4/2012,893595,39,74,2,3,5,10,9,98,N/A,0
187,7/19/2011,9/22/2011,347134,9204,14,2,6,5,46,9,98,NSA,0
188,9/6/2011,9/16/2011,28066,1350,32,2,3,5,11,9,98,N/A,0
189,2/29/2012,4/2/2012,2067669,1873,14,1,4,5,42,9,98,NSA,0
190,2/29/2012,3/19/2012,2084071,1500,70,1,3,5,13,9,98,NSA,0
191,2/29/2012,3/13/2012,542234,10361,27,1,7,3,13,9,98,SAT,0
192,2/29/2012,3/15/2012,844816,1737,8,2,3,5,11,9,98,NSA,0
193,9/7/2011,9/20/2011,1857883,8063,57,2,3,1,4,9,98,SAT,0
194,9/8/2011,10/5/2011,485220,10967,40,2,3,5,40,9,98,SAT,0
195,9/9/2011,9/30/2011,547578,9440,60,2,2,1,15,9,98,SAT,0
196,9/16/2011,9/27/2011,2163796,11796,19,2,3,1,44,9,98,NSA,0
197,9/19/2011,9/21/2011,207379,9873,29,2,2,5,53,9,98,SAT,0
198,9/19/2011,9/29/2011,1910140,11806,52,2,2,5,32,9,98,NSA,0
199,9/21/2011,10/21/2011,1852892,1356,33,2,3,1,32,9,98,NSA,0
200,9/27/2011,10/5/2011,525054,10994,11,2,2,1,46,9,98,N/A,0
201,3/1/2012,3/14/2012,1813766,994,19,2,3,5,11,9,98,N/A,0
202,8/25/2011,9/30/2011,1816375,1896,48,2,3,1,11,9,98,NSA,0
203,8/26/2011,9/6/2011,380905,781,8,2,3,5,45,9,98,SAT,0
204,9/30/2011,11/28/2011,1820032,2614,66,2,3,1,46,9,98,NSA,0
205,9/29/2011,10/6/2011,65406,1706,19,2,7,3,34,9,98,SAT,0
206,9/30/2011,10/3/2011,237027,9588,44,2,3,5,54,9,98,SAT,0
207,10/5/2011,10/26/2011,1770866,1266,55,2,3,5,11,9,98,SAT,0
208,10/4/2011,10/14/2011,285878,11044,66,2,5,5,15,9,98,SAT,0
209,10/5/2011,10/21/2011,2151667,10071,77,2,3,5,46,9,98,SAT,0
210,10/12/2011,11/9/2011,1797150,11036,33,2,3,5,11,9,98,NSA,0
211,10/12/2011,10/20/2011,756458,12133,10,2,2,5,45,9,98,N/A,0
212,10/13/2011,10/13/2011,533106,1419,70,2,7,1,50,9,98,SAT,0
213,10/14/2011,11/25/2011,2167288,11127,16,2,3,1,40,9,98,NSA,0
214,10/20/2011,10/25/2011,1810214,9610,64,2,3,1,46,9,98,NSA,0
215,10/24/2011,11/7/2011,824253,12345,2,2,3,5,46,9,98,SAT,0
216,10/24/2011,11/7/2011,199130,10861,19,2,7,3,15,9,98,SAT,0
217,10/25/2011,11/3/2011,2115226,12044,24,2,4,5,46,9,98,NSA,0
218,8/29/2011,9/15/2011,1812270,11669,27,2,3,5,11,9,98,N/A,0
219,10/25/2011,11/3/2011,2407310,12027,13,2,5,5,15,9,98,SAT,0
220,3/1/2012,4/20/2012,2510630,11212,72,1,4,5,15,9,98,SAT,0
221,9/1/2011,9/9/2011,1884876,2468,16,2,3,5,13,9,98,N/A,0
222,9/8/2011,9/19/2011,1798031,10426,8,2,5,8,11,9,98,N/A,0
223,9/8/2011,9/19/2011,1829805,9211,64,2,5,8,9,9,98,N/A,0
224,9/8/2011,9/23/2011,1722524,813,36,2,4,5,13,9,98,NSA,0
225,9/8/2011,9/30/2011,2150903,2601,29,2,4,5,18,9,98,NSA,0
226,3/2/2012,4/2/2012,218012,8461,36,1,4,5,9,9,98,NSA,0
227,9/1/2011,9/30/2011,416656,11245,34,2,3,5,11,9,98,SAT,0
228,9/2/2011,9/29/2011,1750150,10794,60,2,3,5,2,9,98,NSA,0
229,9/2/2011,9/5/2011,2068097,1695,16,2,2,1,40,9,98,SAT,0
230,9/5/2011,9/7/2011,1826825,858,4,2,3,1,11,9,98,NSA,0
231,9/5/2011,9/19/2011,2366190,11461,52,2,2,2,11,9,98,SAT,0
232,11/4/2011,12/2/2011,1824912,10446,17,2,3,1,32,9,98,SAT,0
233,11/8/2011,12/12/2011,2107628,10994,44,2,5,8,40,9,98,NSA,0
234,11/8/2011,11/21/2011,2346368,8887,6,2,2,1,10,9,98,N/A,0
235,11/8/2011,11/16/2011,2510630,2260,42,2,2,1,18,9,98,SAT,0
236,3/2/2012,3/12/2012,1871438,8385,8,2,3,5,34,9,98,N/A,0
237,11/9/2011,11/11/2011,516386,11062,51,2,3,1,34,9,98,SAT,0
238,11/9/2011,11/18/2011,51568,10172,58,2,2,1,32,9,98,SAT,0
239,11/4/2011,11/11/2011,105863,9968,68,2,5,8,10,9,98,SAT,0
240,11/23/2011,12/2/2011,2256852,10983,20,2,2,1,15,9,98,SAT,0
241,11/24/2011,12/9/2011,1830769,12174,5,2,3,1,46,9,98,SAT,0
242,11/28/2011,12/2/2011,2382074,9647,14,2,2,1,55,9,98,SAT,0
243,12/2/2011,12/13/2011,739682,11083,78,2,2,1,11,9,98,SAT,0
244,3/2/2012,3/15/2012,2118117,2584,74,2,3,5,50,9,98,N/A,0
245,12/2/2011,12/2/2011,769552,2532,5,2,2,1,15,9,98,SAT,0
246,12/6/2011,1/27/2012,533355,10360,19,2,3,5,50,9,98,NSA,0
247,12/15/2011,1/20/2012,2384433,2124,60,2,5,1,15,9,98,SAT,0
248,12/15/2011,12/22/2011,2066179,671,76,2,5,8,46,9,98,SAT,0
249,12/16/2011,12/19/2011,1843520,12198,22,2,7,1,46,9,98,SAT,0
250,12/19/2011,12/19/2011,806277,11806,77,2,7,3,15,9,98,SAT,0
251,12/22/2011,12/27/2011,19752,10112,52,2,2,1,15,9,98,SAT,0
252,12/23/2011,1/17/2012,1689909,10764,9,2,3,5,11,9,98,SAT,0
253,12/28/2011,1/3/2012,603179,9853,33,2,3,1,19,9,98,NSA,0
254,3/5/2012,3/14/2012,1739796,9419,2,2,3,5,46,9,98,N/A,0
255,9/6/2011,9/20/2011,1824930,7973,29,2,3,5,11,9,98,N/A,0
256,3/5/2012,3/13/2012,2379696,10898,61,2,3,5,40,9,98,N/A,0
257,9/7/2011,9/23/2011,650128,416,33,2,7,5,10,9,98,SAT,0
258,9/7/2011,9/16/2011,1709758,1292,31,2,3,5,11,9,98,NSA,0
259,9/12/2011,10/17/2011,1899230,11904,28,2,3,2,11,9,98,NSA,0
260,9/12/2011,10/27/2011,1846469,11287,62,2,4,5,15,9,98,N/A,0
261,3/2/2012,4/20/2012,748506,9796,58,2,3,5,18,9,98,N/A,0
262,3/6/2012,3/9/2012,429761,11005,41,2,2,1,54,9,98,SAT,0
263,3/6/2012,3/8/2012,710788,10644,69,2,3,5,13,9,98,NSA,0
264,3/6/2012,4/4/2012,2159278,9395,52,1,3,5,54,9,98,N/A,0
265,3/7/2012,3/19/2012,1813249,911,75,2,3,5,13,9,98,NSA,0
266,3/7/2012,4/25/2012,2421903,1573,41,2,7,3,11,9,98,NSA,0
267,2/17/2012,3/7/2012,2574599,10187,17,2,7,8,18,9,98,N/A,0
268,3/7/2012,3/9/2012,877710,12051,74,2,7,3,13,9,98,N/A,0
269,3/7/2012,3/8/2012,1906388,12181,45,1,5,5,10,9,98,SAT,0
270,3/7/2012,4/5/2012,813605,10973,52,2,3,5,13,9,98,NSA,0
271,9/12/2011,9/22/2011,776456,1645,6,2,3,5,25,9,98,SAT,0
272,9/12/2011,9/19/2011,889554,11275,61,2,7,2,13,9,98,NSA,0
273,9/12/2011,9/15/2011,864011,1253,10,2,5,1,15,9,98,NSA,0
274,3/6/2012,3/15/2012,815719,10802,15,2,3,1,40,9,98,N/A,0
275,9/12/2011,10/14/2011,817566,11978,25,2,3,5,9,9,98,SAT,0
276,3/8/2012,3/14/2012,1791353,12256,70,1,7,3,18,9,98,N/A,0
277,3/8/2012,4/6/2012,2057033,12246,36,1,4,5,50,9,98,NSA,0
278,3/8/2012,4/17/2012,818527,9499,22,1,4,5,11,9,98,NSA,0
279,3/8/2012,3/21/2012,642550,347,71,2,3,5,46,9,98,N/A,0
280,3/8/2012,4/2/2012,648231,1201,57,2,5,5,50,9,98,N/A,0
281,9/16/2011,9/20/2011,580989,11118,31,2,3,1,11,9,98,SAT,0
282,9/16/2011,9/27/2011,2201838,49,31,2,5,8,10,9,98,NSA,0
283,9/19/2011,9/22/2011,409944,10739,9,2,3,3,11,9,98,NSA,0
284,9/19/2011,9/30/2011,2058400,10978,62,2,3,1,11,9,98,NSA,0
285,3/9/2012,3/30/2012,1892007,10659,36,1,7,5,14,9,98,N/A,0
286,9/20/2011,10/7/2011,451107,858,54,2,3,4,42,9,98,N/A,0
287,9/20/2011,9/22/2011,1848833,2235,75,2,3,1,11,9,98,SAT,0
288,9/21/2011,10/14/2011,1707989,2676,24,2,3,2,55,9,98,N/A,0
289,9/26/2011,10/14/2011,1850025,10069,4,2,3,2,10,9,98,NSA,0
290,9/26/2011,10/26/2011,1708253,645,68,2,3,2,45,9,98,SAT,0
291,3/9/2012,3/27/2012,1943803,12174,73,1,4,5,50,9,98,N/A,0
292,3/12/2012,4/10/2012,1709752,12692,9,2,3,5,11,9,98,SAT,0
293,3/12/2012,3/27/2012,2308404,116,52,2,3,5,13,9,98,NSA,0
294,3/12/2012,4/24/2012,100339,10187,11,2,3,5,11,9,98,NSA,0
295,3/12/2012,4/5/2012,561855,11148,74,2,3,5,2,9,98,SAT,0
296,9/26/2011,10/6/2011,2110034,8985,63,2,3,1,9,9,98,N/A,0
297,9/26/2011,10/6/2011,1758057,11798,46,2,3,1,11,9,98,SAT,0
298,9/28/2011,10/5/2011,1883946,8965,41,2,5,5,10,9,98,N/A,0
299,9/29/2011,10/13/2011,225875,12346,40,2,3,1,11,9,98,NSA,0
300,9/29/2011,10/6/2011,276164,10430,11,2,4,5,50,9,98,NSA,0
301,9/29/2011,10/24/2011,1840842,9918,51,2,7,1,32,9,98,NSA,0
302,9/29/2011,9/29/2011,2038637,11246,27,2,7,3,18,9,98,N/A,0
303,9/30/2011,10/21/2011,2422891,224,19,2,4,5,10,9,98,NSA,0
304,9/28/2011,9/30/2011,1656263,11825,50,2,2,5,40,9,98,NSA,0
305,9/20/2011,10/6/2011,2380616,10964,26,2,3,5,2,9,98,NSA,0
306,3/12/2012,4/10/2012,2383497,11104,78,2,2,1,32,9,98,N/A,0
307,10/3/2011,10/4/2011,802381,10644,38,2,4,5,13,9,98,N/A,0
308,3/12/2012,3/29/2012,1852081,884,41,2,3,5,13,9,98,SAT,0
309,3/13/2012,3/13/2012,604878,10566,5,2,7,8,10,9,98,N/A,0
310,3/13/2012,4/10/2012,1790367,542,76,2,5,5,13,9,98,SAT,0
311,3/13/2012,4/10/2012,2200343,9706,28,2,3,5,13,9,98,SAT,0
312,3/13/2012,3/22/2012,844169,11114,63,1,7,5,9,9,98,N/A,0
313,3/13/2012,4/17/2012,873720,10172,65,1,3,5,50,9,98,NSA,0
314,3/13/2012,3/15/2012,306750,10563,9,1,7,1,40,9,98,SAT,0
315,3/13/2012,3/26/2012,889062,9405,69,2,3,5,44,9,98,N/A,0
316,3/14/2012,4/6/2012,403537,119,56,1,4,5,50,9,98,N/A,0
317,3/14/2012,4/17/2012,304332,10031,1,1,3,5,50,9,98,NSA,0
318,3/14/2012,4/9/2012,370761,12246,11,1,3,6,37,9,98,N/A,0
319,3/15/2012,3/29/2012,302332,9211,34,2,3,3,33,9,98,SAT,0
320,3/15/2012,4/2/2012,2415712,157,27,1,3,3,11,9,98,SAT,0
321,3/15/2012,3/29/2012,1750151,836,31,2,3,1,46,9,98,N/A,0
322,3/15/2012,3/26/2012,261490,10601,31,2,3,5,40,9,98,NSA,0
323,3/15/2012,4/5/2012,397628,978,44,2,3,5,11,9,98,NSA,0
324,3/15/2012,4/4/2012,820804,10326,39,2,3,5,44,9,98,NSA,0
325,3/15/2012,4/5/2012,1852091,8461,48,2,3,5,11,9,98,NSA,0
326,3/15/2012,3/21/2012,1848584,221,72,2,5,4,42,9,98,N/A,0
327,10/4/2011,10/12/2011,273763,197,61,2,6,8,11,9,98,SAT,0
328,9/30/2011,10/4/2011,556363,1499,70,2,7,8,19,9,98,N/A,0
329,10/5/2011,10/19/2011,628105,9085,48,2,3,1,11,9,98,NSA,0
330,10/4/2011,10/10/2011,409336,865,46,2,7,3,10,9,98,N/A,0
331,10/5/2011,10/18/2011,449023,9884,67,2,3,1,11,9,98,SAT,0
332,10/6/2011,10/19/2011,98233,9923,38,2,2,5,11,9,98,NSA,0
333,3/16/2012,3/26/2012,246371,10979,44,2,3,5,11,9,98,NSA,0
334,3/16/2012,4/4/2012,1878907,1275,64,2,7,3,11,9,98,SAT,0
335,3/19/2012,3/30/2012,426466,2206,22,2,7,8,15,9,98,N/A,0
336,3/16/2012,3/16/2012,2068097,11590,13,2,7,8,10,9,98,SAT,0
337,3/19/2012,3/30/2012,2114831,9892,68,2,3,5,34,9,98,N/A,0
338,9/12/2011,9/30/2011,1837354,8853,11,2,3,5,11,9,98,NSA,0
341,7/29/2011,8/6/2011,511401,8057,73,2,5,5,55,9,98,SAT,0
342,8/2/2011,8/3/2011,852112,11151,48,2,6,5,46,9,98,SAT,0
343,9/5/2011,9/14/2011,77542,1512,41,2,3,5,40,9,98,SAT,0
344,3/19/2012,4/9/2012,522860,9726,26,2,3,5,13,9,98,NSA,0
345,8/31/2011,9/16/2011,256686,10820,3,2,5,8,54,9,98,SAT,0
346,7/28/2011,8/29/2011,2148877,12603,37,2,5,1,55,9,98,SAT,0
347,7/14/2011,7/22/2011,1913065,7949,57,2,5,5,50,9,98,SAT,0
348,3/19/2012,3/22/2012,304758,8991,52,2,3,5,13,9,98,SAT,0
349,7/11/2011,7/22/2011,1850525,879,30,2,2,5,11,9,98,SAT,0
350,9/20/2011,10/3/2011,2382122,10186,52,2,3,5,11,9,98,NSA,0
351,10/6/2011,10/14/2011,1881741,884,53,2,3,5,4,9,98,NSA,0
352,10/6/2011,10/14/2011,2306148,10668,31,2,3,5,11,9,98,NSA,0
353,10/7/2011,11/15/2011,1642885,11063,58,2,3,5,4,9,98,SAT,0
354,10/6/2011,10/21/2011,235536,11175,13,2,2,1,11,9,98,SAT,0
355,10/6/2011,10/13/2011,1820617,10892,49,2,3,1,23,9,98,SAT,0
356,10/10/2011,11/9/2011,760794,10844,41,1,3,5,11,9,98,SAT,0
357,10/10/2011,10/18/2011,2323816,8946,51,2,3,5,9,9,98,NSA,0
358,10/10/2011,10/21/2011,1823725,12048,58,2,3,5,11,9,98,NSA,0
359,10/10/2011,11/1/2011,1873886,2007,20,2,2,1,11,9,98,N/A,0
360,3/20/2012,4/3/2012,1793575,11461,69,2,7,3,10,9,98,N/A,0
361,10/12/2011,10/25/2011,621877,8949,21,2,3,5,11,9,98,SAT,0
362,10/13/2011,11/8/2011,2386186,8585,17,2,3,1,11,9,98,NSA,0
363,10/14/2011,10/24/2011,1799498,2065,16,2,3,5,11,9,98,NSA,0
364,10/14/2011,10/24/2011,894482,1255,21,2,3,5,11,9,98,NSA,0
365,10/14/2011,10/26/2011,504405,461,49,2,3,5,11,9,98,SAT,0
366,10/14/2011,11/9/2011,894254,11273,60,2,3,5,10,9,98,N/A,0
367,3/20/2012,4/4/2012,639914,8948,74,2,3,1,44,9,98,SAT,0
368,3/20/2012,4/9/2012,1867172,9311,9,2,3,1,11,9,98,NSA,0
369,10/19/2011,10/26/2011,1706955,11713,7,2,7,5,15,9,98,SAT,0
370,10/18/2011,10/26/2011,429727,10989,48,2,7,8,47,9,98,N/A,0
