ID,ComplaintID,ComplaintStatusID,StatusDate
467,10144,9,10/9/2018
31,10145,1,9/12/2018
56,10145,3,9/13/2018
98,10145,9,9/18/2018
35,10146,1,9/13/2018
52,10146,4,9/13/2018
105,10146,9,9/19/2018
36,10147,1,9/13/2018
49,10147,4,9/13/2018
136,10147,9,9/20/2018
37,10148,1,9/13/2018
44,10148,4,9/13/2018
515,10148,9,10/12/2018
38,10154,1,9/13/2018
45,10154,4,9/13/2018
488,10154,9,10/10/2018
39,10155,1,9/13/2018
40,10155,4,9/13/2018
54,10155,1,9/13/2018
88,10155,3,9/17/2018
101,10155,9,9/18/2018
42,10156,2,9/13/2018
119,10156,1,9/19/2018
150,10156,9,9/20/2018
43,10157,2,9/13/2018
120,10157,1,9/19/2018
151,10157,9,9/20/2018
46,10158,2,9/13/2018
199,10158,9,9/24/2018
47,10159,2,9/13/2018
122,10159,1,9/19/2018
152,10159,9,9/20/2018
48,10160,1,9/13/2018
57,10160,4,9/13/2018
163,10160,1,9/20/2018
265,10160,4,9/26/2018
478,10160,1,10/10/2018
487,10160,9,10/10/2018
51,10161,2,9/13/2018
123,10161,1,9/19/2018
153,10161,9,9/20/2018
53,10162,2,9/13/2018
115,10162,1,9/19/2018
154,10162,9,9/20/2018
62,10163,1,9/13/2018
107,10163,4,9/19/2018
373,10163,1,10/3/2018
479,10163,4,10/10/2018
627,10163,9,10/19/2018
64,10164,1,9/14/2018
65,10164,4,9/14/2018
1060,10164,1,11/13/2018
1165,10164,3,11/20/2018
1282,10164,9,11/27/2018
66,10165,1,9/14/2018
70,10165,9,9/14/2018
72,10166,9,9/14/2018
73,10167,1,9/14/2018
165,10167,3,9/21/2018
525,10167,9,10/15/2018
74,10168,2,9/14/2018
200,10168,9,9/24/2018
75,10169,2,9/14/2018
201,10169,1,9/24/2018
209,10169,9,9/24/2018
76,10170,2,9/14/2018
173,10170,4,9/21/2018
222,10170,1,9/25/2018
231,10170,4,9/25/2018
549,10170,9,10/15/2018
77,10171,2,9/14/2018
124,10171,1,9/19/2018
155,10171,9,9/20/2018
80,10172,1,9/17/2018
83,10172,4,9/17/2018
130,10172,9,9/19/2018
81,10173,2,9/17/2018
125,10173,1,9/19/2018
156,10173,9,9/20/2018
82,10174,1,9/17/2018
86,10174,4,9/17/2018
495,10174,9,10/11/2018
84,10175,2,9/17/2018
203,10175,1,9/24/2018
207,10175,9,9/24/2018
89,10176,1,9/17/2018
90,10176,4,9/17/2018
299,10176,1,9/27/2018
332,10176,9,9/28/2018
91,10177,2,9/17/2018
126,10177,1,9/19/2018
145,10177,9,9/20/2018
94,10178,1,9/18/2018
157,10178,4,9/20/2018
1277,10178,9,11/27/2018
99,10179,1,9/18/2018
100,10179,4,9/18/2018
196,10179,1,9/24/2018
261,10179,3,9/26/2018
517,10179,9,10/15/2018
103,10180,1,9/19/2018
104,10180,9,9/19/2018
106,10181,1,9/19/2018
139,10181,9,9/20/2018
108,10182,1,9/19/2018
197,10182,4,9/24/2018
289,10182,1,9/27/2018
293,10182,9,9/27/2018
109,10183,1,9/19/2018
198,10183,9,9/24/2018
112,10184,2,9/19/2018
127,10184,1,9/19/2018
138,10184,9,9/20/2018
113,10185,1,9/18/2018
214,10185,9,9/25/2018
128,10186,1,9/18/2018
264,10186,9,9/26/2018
131,10187,1,9/19/2018
323,10187,9,9/28/2018
132,10188,2,9/19/2018
205,10188,1,9/24/2018
208,10188,9,9/24/2018
133,10189,1,9/13/2018
134,10189,4,9/19/2018
143,10189,9,9/20/2018
137,10190,2,9/20/2018
240,10190,9,9/26/2018
140,10191,2,9/20/2018
242,10191,1,9/26/2018
287,10191,9,9/27/2018
142,10192,1,9/18/2018
219,10192,4,9/25/2018
380,10192,1,10/3/2018
513,10192,3,10/12/2018
518,10192,4,10/15/2018
527,10192,9,10/15/2018
144,10193,2,9/20/2018
244,10193,1,9/26/2018
270,10193,9,9/27/2018
148,10194,2,9/20/2018
245,10194,1,9/26/2018
285,10194,9,9/27/2018
166,10195,1,9/20/2018
167,10195,4,9/21/2018
268,10195,1,9/27/2018
269,10195,9,9/27/2018
169,10196,1,9/20/2018
170,10196,3,9/21/2018
331,10196,9,9/28/2018
172,10197,1,9/19/2018
182,10197,4,9/24/2018
183,10197,1,9/24/2018
184,10197,9,9/24/2018
176,10198,2,9/14/2018
202,10198,9,9/24/2018
177,10199,1,9/21/2018
189,10199,9,9/24/2018
178,10200,1,9/21/2018
179,10200,4,9/24/2018
212,10200,9,9/25/2018
180,10201,2,9/24/2018
246,10201,1,9/26/2018
291,10201,9,9/27/2018
181,10202,2,9/24/2018
247,10202,1,9/26/2018
284,10202,9,9/27/2018
185,10203,2,9/24/2018
295,10203,9,9/27/2018
186,10204,2,9/24/2018
248,10204,1,9/26/2018
283,10204,9,9/27/2018
187,10205,2,9/24/2018
249,10205,1,9/26/2018
282,10205,9,9/27/2018
190,10206,2,9/24/2018
250,10206,1,9/26/2018
281,10206,9,9/27/2018
191,10207,1,9/21/2018
271,10207,3,9/27/2018
522,10207,9,10/15/2018
192,10208,2,9/24/2018
251,10208,1,9/26/2018
280,10208,9,9/27/2018
193,10209,2,9/24/2018
337,10209,9,9/28/2018
194,10210,2,9/24/2018
252,10210,1,9/26/2018
279,10210,9,9/27/2018
195,10211,2,9/24/2018
253,10211,1,9/26/2018
278,10211,9,9/27/2018
206,10212,2,9/24/2018
213,10212,9,9/25/2018
211,10213,1,9/24/2018
218,10213,9,9/25/2018
215,10214,1,9/24/2018
230,10214,9,9/25/2018
216,10215,1,9/25/2018
217,10215,4,9/25/2018
220,10215,1,9/25/2018
221,10215,9,9/25/2018
223,10216,2,9/25/2018
312,10216,1,9/27/2018
330,10216,9,9/28/2018
225,10217,2,9/25/2018
254,10217,1,9/26/2018
277,10217,9,9/27/2018
226,10218,1,9/25/2018
228,10218,4,9/25/2018
229,10218,3,9/25/2018
648,10218,4,10/22/2018
650,10218,1,10/22/2018
665,10218,9,10/23/2018
227,10219,2,9/25/2018
255,10219,1,9/26/2018
276,10219,9,9/27/2018
232,10220,2,9/25/2018
256,10220,1,9/26/2018
275,10220,9,9/27/2018
233,10221,2,9/25/2018
243,10221,1,9/26/2018
286,10221,9,9/27/2018
234,10222,2,9/25/2018
257,10222,1,9/26/2018
288,10222,9,9/27/2018
235,10223,2,9/25/2018
258,10223,1,9/26/2018
274,10223,9,9/27/2018
236,10224,2,9/25/2018
259,10224,1,9/26/2018
273,10224,9,9/27/2018
237,10225,2,9/25/2018
262,10225,9,9/26/2018
238,10226,2,9/25/2018
260,10226,1,9/26/2018
272,10226,9,9/27/2018
239,10227,1,9/25/2018
241,10227,9,9/26/2018
267,10228,2,9/26/2018
294,10228,1,9/27/2018
322,10228,9,9/28/2018
290,10229,2,9/27/2018
292,10229,9,9/27/2018
296,10230,1,9/27/2018
298,10230,4,9/27/2018
300,10230,9,9/27/2018
301,10231,2,9/27/2018
314,10231,1,9/27/2018
329,10231,9,9/28/2018
302,10232,2,9/27/2018
315,10232,1,9/27/2018
328,10232,9,9/28/2018
303,10233,2,9/27/2018
316,10233,1,9/27/2018
353,10233,9,10/2/2018
304,10234,2,9/27/2018
318,10234,1,9/28/2018
327,10234,9,9/28/2018
305,10235,2,9/27/2018
319,10235,1,9/28/2018
326,10235,9,9/28/2018
306,10236,1,9/26/2018
317,10236,4,9/28/2018
401,10236,9,10/5/2018
307,10237,2,9/27/2018
320,10237,1,9/28/2018
325,10237,9,9/28/2018
308,10238,2,9/27/2018
321,10238,1,9/28/2018
324,10238,9,9/28/2018
309,10239,2,9/27/2018
313,10239,9,9/27/2018
310,10240,1,9/27/2018
311,10240,4,9/27/2018
449,10240,1,10/9/2018
466,10240,9,10/9/2018
335,10241,1,9/28/2018
336,10241,4,9/28/2018
427,10241,1,10/8/2018
434,10241,9,10/8/2018
339,10242,1,10/1/2018
340,10242,4,10/1/2018
344,10242,1,10/1/2018
352,10242,9,10/2/2018
342,10243,1,10/1/2018
343,10243,3,10/1/2018
426,10243,4,10/8/2018
1567,10243,9,12/20/2018
345,10248,1,10/1/2018
359,10248,4,10/2/2018
368,10248,9,10/2/2018
347,10249,1,10/1/2018
348,10249,9,10/1/2018
349,10250,1,10/1/2018
358,10250,9,10/2/2018
350,10252,1,10/1/2018
351,10252,9,10/1/2018
354,10253,1,10/2/2018
355,10253,9,10/2/2018
356,10254,2,10/2/2018
370,10254,1,10/3/2018
388,10254,9,10/3/2018
357,10255,2,10/2/2018
371,10255,9,10/3/2018
360,10256,2,10/2/2018
372,10256,1,10/3/2018
387,10256,9,10/3/2018
361,10257,2,10/2/2018
377,10257,9,10/3/2018
362,10258,2,10/2/2018
374,10258,1,10/3/2018
386,10258,9,10/3/2018
363,10259,2,10/2/2018
369,10259,1,10/3/2018
379,10259,9,10/3/2018
364,10260,2,10/2/2018
375,10260,1,10/3/2018
384,10260,9,10/3/2018
365,10261,1,10/2/2018
367,10261,9,10/2/2018
366,10262,2,10/2/2018
376,10262,1,10/3/2018
385,10262,9,10/3/2018
381,10263,1,10/3/2018
383,10263,4,10/3/2018
419,10263,9,10/5/2018
382,10264,1,10/3/2018
389,10264,4,10/3/2018
578,10264,3,10/17/2018
942,10264,4,11/5/2018
1153,10264,1,11/19/2018
1161,10264,3,11/20/2018
1175,10264,9,11/20/2018
390,10265,1,10/3/2018
443,10265,9,10/9/2018
474,10265,1,10/10/2018
514,10265,3,10/12/2018
938,10265,9,11/5/2018
391,10266,1,10/4/2018
392,10266,4,10/4/2018
688,10266,1,10/23/2018
704,10266,9,10/23/2018
395,10267,1,9/19/2018
421,10267,9,10/8/2018
396,10268,1,9/11/2018
397,10268,4,10/4/2018
438,10268,9,10/9/2018
398,10269,2,10/4/2018
403,10269,1,10/5/2018
411,10269,9,10/5/2018
399,10270,2,10/4/2018
405,10270,1,10/5/2018
410,10270,9,10/5/2018
400,10271,2,10/4/2018
408,10271,1,10/5/2018
409,10271,9,10/5/2018
402,10272,1,10/4/2018
412,10272,9,10/5/2018
404,10273,1,10/4/2018
424,10273,4,10/8/2018
432,10273,1,10/8/2018
553,10273,9,10/16/2018
406,10274,1,10/5/2018
407,10274,4,10/5/2018
577,10274,3,10/17/2018
660,10274,9,10/22/2018
413,10275,1,10/5/2018
414,10275,4,10/5/2018
481,10275,1,10/10/2018
485,10275,4,10/10/2018
686,10275,3,10/23/2018
800,10275,4,10/29/2018
852,10275,9,10/30/2018
415,10276,1,10/5/2018
416,10276,4,10/5/2018
724,10276,1,10/24/2018
726,10276,9,10/24/2018
417,10277,1,10/4/2018
418,10277,4,10/5/2018
484,10277,9,10/10/2018
420,10278,2,10/5/2018
425,10278,4,10/8/2018
428,10278,9,10/8/2018
422,10279,1,10/5/2018
423,10279,4,10/8/2018
602,10279,9,10/18/2018
429,10280,1,10/8/2018
430,10280,4,10/8/2018
817,10280,9,10/29/2018
431,10281,1,10/8/2018
445,10281,4,10/9/2018
447,10281,3,10/9/2018
661,10281,9,10/22/2018
435,10282,1,10/5/2018
437,10282,4,10/9/2018
611,10282,1,10/18/2018
613,10282,9,10/18/2018
436,10283,1,10/8/2018
477,10283,9,10/10/2018
439,10284,2,10/9/2018
451,10284,1,10/9/2018
459,10284,9,10/9/2018
441,10285,2,10/9/2018
452,10285,1,10/9/2018
471,10285,9,10/10/2018
442,10286,2,10/9/2018
453,10286,1,10/9/2018
470,10286,9,10/10/2018
444,10287,2,10/9/2018
464,10287,9,10/9/2018
446,10288,2,10/9/2018
465,10288,1,10/9/2018
473,10288,9,10/10/2018
448,10289,2,10/9/2018
469,10289,1,10/9/2018
476,10289,9,10/10/2018
450,10290,1,10/9/2018
462,10290,4,10/9/2018
519,10290,1,10/15/2018
526,10290,4,10/15/2018
596,10290,1,10/17/2018
615,10290,3,10/18/2018
645,10290,9,10/22/2018
454,10291,2,10/9/2018
463,10291,1,10/9/2018
475,10291,9,10/10/2018
455,10292,1,10/8/2018
457,10292,4,10/9/2018
1041,10292,9,11/12/2018
456,10293,2,10/9/2018
460,10293,1,10/9/2018
472,10293,9,10/10/2018
458,10294,1,10/9/2018
461,10294,4,10/9/2018
601,10294,1,10/18/2018
617,10294,3,10/18/2018
830,10294,4,10/30/2018
917,10294,3,11/2/2018
922,10294,9,11/2/2018
468,10295,1,10/9/2018
483,10295,4,10/10/2018
1323,10295,9,12/4/2018
480,10296,1,10/10/2018
597,10296,4,10/17/2018
600,10296,1,10/18/2018
629,10296,4,10/19/2018
775,10296,1,10/26/2018
786,10296,9,10/26/2018
486,10297,1,10/1/2018
720,10297,3,10/24/2018
795,10297,4,10/29/2018
796,10297,3,10/29/2018
825,10297,4,10/30/2018
829,10297,9,10/30/2018
490,10298,1,10/10/2018
529,10298,9,10/15/2018
491,10299,1,10/10/2018
528,10299,9,10/15/2018
492,10300,1,10/11/2018
530,10300,2,10/15/2018
532,10300,1,10/15/2018
583,10300,9,10/17/2018
493,10301,2,10/11/2018
497,10301,1,10/11/2018
500,10301,9,10/12/2018
494,10302,2,10/11/2018
496,10302,4,10/11/2018
512,10302,9,10/12/2018
498,10303,1,10/11/2018
501,10303,9,10/12/2018
499,10304,1,10/11/2018
502,10304,9,10/12/2018
503,10305,1,10/11/2018
504,10305,9,10/12/2018
505,10306,1,10/4/2018
506,10306,9,10/12/2018
507,10307,1,10/11/2018
619,10307,3,10/18/2018
773,10307,9,10/26/2018
508,10308,1,10/12/2018
509,10308,4,10/12/2018
540,10308,1,10/15/2018
545,10308,4,10/15/2018
687,10308,1,10/23/2018
805,10308,3,10/29/2018
935,10308,9,11/2/2018
510,10309,1,10/12/2018
511,10309,4,10/12/2018
541,10309,1,10/15/2018
546,10309,4,10/15/2018
633,10309,1,10/19/2018
636,10309,4,10/19/2018
707,10309,1,10/23/2018
727,10309,3,10/24/2018
950,10309,4,11/6/2018
1071,10309,9,11/14/2018
516,10310,1,10/12/2018
603,10310,9,10/18/2018
520,10311,2,10/15/2018
534,10311,1,10/15/2018
584,10311,9,10/17/2018
521,10312,2,10/15/2018
535,10312,4,10/15/2018
593,10312,9,10/17/2018
523,10313,2,10/15/2018
543,10313,9,10/15/2018
524,10314,2,10/15/2018
537,10314,1,10/15/2018
586,10314,9,10/17/2018
531,10315,2,10/15/2018
538,10315,1,10/15/2018
587,10315,9,10/17/2018
533,10316,2,10/15/2018
539,10316,4,10/15/2018
562,10316,1,10/16/2018
590,10316,9,10/17/2018
536,10317,2,10/15/2018
542,10317,4,10/15/2018
798,10317,9,10/29/2018
544,10318,1,10/12/2018
547,10318,4,10/15/2018
548,10318,1,10/15/2018
862,10318,3,10/31/2018
1178,10318,4,11/21/2018
1339,10318,1,12/5/2018
1340,10318,9,12/5/2018
550,10319,1,10/15/2018
630,10319,4,10/19/2018
635,10319,1,10/19/2018
638,10319,3,10/19/2018
710,10319,9,10/24/2018
551,10320,1,10/16/2018
690,10320,4,10/23/2018
1019,10320,9,11/9/2018
552,10322,1,10/16/2018
691,10322,4,10/23/2018
1020,10322,9,11/9/2018
554,10323,2,10/16/2018
575,10323,9,10/16/2018
555,10324,2,10/16/2018
571,10324,4,10/16/2018
741,10324,9,10/25/2018
556,10325,2,10/16/2018
572,10325,1,10/16/2018
582,10325,9,10/17/2018
557,10329,1,10/16/2018
692,10329,4,10/23/2018
1023,10329,9,11/9/2018
558,10330,1,10/16/2018
559,10330,4,10/16/2018
614,10330,3,10/18/2018
970,10330,4,11/7/2018
1327,10330,9,12/4/2018
560,10331,1,10/16/2018
693,10331,4,10/23/2018
1024,10331,9,11/9/2018
561,10332,1,10/16/2018
694,10332,4,10/23/2018
1017,10332,9,11/9/2018
563,10333,1,10/16/2018
695,10333,4,10/23/2018
1018,10333,9,11/9/2018
564,10334,1,10/16/2018
696,10334,4,10/23/2018
1025,10334,9,11/9/2018
565,10335,1,10/16/2018
566,10335,4,10/16/2018
828,10335,1,10/30/2018
833,10335,3,10/30/2018
1039,10335,9,11/12/2018
567,10337,1,10/16/2018
697,10337,4,10/23/2018
1026,10337,9,11/9/2018
568,10338,1,10/16/2018
698,10338,4,10/23/2018
1012,10338,9,11/9/2018
569,10339,1,10/16/2018
699,10339,4,10/23/2018
1015,10339,9,11/9/2018
570,10340,2,10/16/2018
821,10340,1,10/29/2018
826,10340,3,10/30/2018
946,10340,9,11/5/2018
573,10341,1,10/16/2018
574,10341,4,10/16/2018
723,10341,1,10/24/2018
731,10341,9,10/24/2018
576,10342,1,10/16/2018
632,10342,4,10/19/2018
711,10342,1,10/24/2018
753,10342,3,10/25/2018
861,10342,9,10/31/2018
580,10343,1,9/4/2018
581,10343,9,10/17/2018
585,10344,1,10/17/2018
588,10344,9,10/17/2018
589,10345,1,10/16/2018
591,10345,4,10/17/2018
820,10345,1,10/29/2018
863,10345,3,10/31/2018
901,10345,9,11/1/2018
592,10346,1,10/17/2018
610,10346,4,10/18/2018
706,10346,1,10/23/2018
721,10346,3,10/24/2018
793,10346,9,10/26/2018
594,10347,1,10/16/2018
595,10347,4,10/17/2018
1287,10347,9,11/28/2018
598,10348,1,10/17/2018
612,10348,9,10/18/2018
604,10349,1,10/17/2018
700,10349,4,10/23/2018
1013,10349,9,11/9/2018
605,10350,1,10/18/2018
701,10350,4,10/23/2018
1021,10350,9,11/9/2018
606,10351,1,10/17/2018
702,10351,4,10/23/2018
1022,10351,9,11/9/2018
607,10352,1,10/17/2018
703,10352,4,10/23/2018
1014,10352,9,11/9/2018
608,10353,1,10/18/2018
609,10353,4,10/18/2018
780,10353,1,10/26/2018
884,10353,4,11/1/2018
904,10353,1,11/1/2018
1070,10353,3,11/14/2018
1198,10353,9,11/22/2018
616,10354,2,10/18/2018
631,10354,1,10/19/2018
639,10354,9,10/19/2018
618,10355,2,10/18/2018
634,10355,1,10/19/2018
640,10355,9,10/19/2018
621,10356,1,10/16/2018
622,10356,4,10/19/2018
708,10356,1,10/23/2018
718,10356,3,10/24/2018
748,10356,9,10/25/2018
623,10357,1,10/18/2018
624,10357,4,10/19/2018
827,10357,3,10/30/2018
1201,10357,9,11/22/2018
625,10358,1,10/18/2018
626,10358,4,10/19/2018
689,10358,1,10/23/2018
713,10358,9,10/24/2018
628,10359,2,10/19/2018
637,10359,1,10/19/2018
641,10359,9,10/19/2018
642,10360,1,10/19/2018
646,10360,9,10/22/2018
643,10361,1,10/19/2018
810,10361,9,10/29/2018
644,10362,1,10/19/2018
809,10362,9,10/29/2018
647,10363,1,10/18/2018
1167,10363,3,11/20/2018
1179,10363,9,11/21/2018
651,10364,1,10/19/2018
670,10364,3,10/23/2018
774,10364,9,10/26/2018
652,10365,1,10/22/2018
705,10365,4,10/23/2018
1027,10365,9,11/9/2018
653,10366,2,10/22/2018
658,10366,4,10/22/2018
977,10366,9,11/8/2018
654,10367,2,10/22/2018
659,10367,9,10/22/2018
655,10368,1,10/22/2018
657,10368,4,10/22/2018
722,10368,1,10/24/2018
785,10368,3,10/26/2018
1042,10368,4,11/12/2018
1331,10368,9,12/4/2018
656,10369,1,10/22/2018
807,10369,9,10/29/2018
662,10370,1,10/22/2018
663,10370,9,10/23/2018
666,10371,1,10/22/2018
667,10371,4,10/23/2018
808,10371,9,10/29/2018
668,10372,1,10/22/2018
669,10372,4,10/23/2018
709,10372,9,10/23/2018
671,10373,1,10/22/2018
672,10373,4,10/23/2018
816,10373,1,10/29/2018
1131,10373,9,11/19/2018
673,10374,2,10/23/2018
712,10374,1,10/24/2018
744,10374,9,10/25/2018
674,10375,2,10/23/2018
714,10375,1,10/24/2018
739,10375,9,10/25/2018
675,10376,2,10/23/2018
715,10376,4,10/24/2018
846,10376,9,10/30/2018
676,10377,2,10/23/2018
725,10377,9,10/24/2018
677,10378,1,10/22/2018
678,10378,4,10/23/2018
3097,10378,1,3/14/2019
3735,10378,4,3/28/2019
3753,10378,1,3/28/2019
3756,10378,3,3/28/2019
4373,10378,9,4/8/2019
679,10379,2,10/23/2018
728,10379,9,10/24/2018
680,10380,1,10/23/2018
681,10380,4,10/23/2018
789,10380,1,10/26/2018
870,10380,4,10/31/2018
1160,10380,1,11/20/2018
1166,10380,9,11/20/2018
682,10381,2,10/23/2018
729,10381,1,10/24/2018
743,10381,9,10/25/2018
683,10382,2,10/23/2018
730,10382,1,10/24/2018
742,10382,9,10/25/2018
684,10383,1,10/23/2018
685,10383,4,10/23/2018
735,10383,1,10/25/2018
749,10383,9,10/25/2018
716,10384,1,10/23/2018
717,10384,4,10/24/2018
719,10384,6,10/24/2018
750,10384,1,10/25/2018
751,10384,4,10/25/2018
799,10384,1,10/29/2018
819,10384,9,10/29/2018
732,10385,1,10/24/2018
752,10385,4,10/25/2018
941,10385,3,11/5/2018
969,10385,9,11/7/2018
733,10386,1,10/24/2018
869,10386,3,10/31/2018
1259,10386,9,11/26/2018
734,10387,1,10/25/2018
745,10387,9,10/25/2018
736,10388,2,10/22/2018
737,10388,4,10/25/2018
818,10388,9,10/29/2018
738,10389,1,10/25/2018
740,10389,4,10/25/2018
973,10389,9,11/8/2018
746,10390,1,10/22/2018
806,10390,4,10/29/2018
921,10390,1,11/2/2018
932,10390,4,11/2/2018
1136,10390,9,11/19/2018
747,10391,1,10/23/2018
815,10391,4,10/29/2018
856,10391,1,10/30/2018
859,10391,3,10/31/2018
1048,10391,4,11/13/2018
1332,10391,9,12/4/2018
754,10392,2,10/25/2018
803,10392,1,10/29/2018
994,10392,9,11/8/2018
755,10393,2,10/25/2018
783,10393,1,10/26/2018
813,10393,9,10/29/2018
756,10394,2,10/25/2018
771,10394,9,10/25/2018
757,10395,1,10/24/2018
758,10395,2,10/25/2018
801,10395,1,10/29/2018
860,10395,9,10/31/2018
759,10396,1,10/23/2018
760,10396,4,10/25/2018
802,10396,1,10/29/2018
872,10396,3,11/1/2018
877,10396,1,11/1/2018
934,10396,9,11/2/2018
761,10397,1,10/25/2018
764,10397,3,10/25/2018
797,10397,9,10/29/2018
762,10398,2,10/25/2018
781,10398,1,10/26/2018
811,10398,9,10/29/2018
763,10399,2,10/25/2018
782,10399,1,10/26/2018
812,10399,9,10/29/2018
765,10400,1,10/24/2018
1063,10400,3,11/14/2018
1114,10400,9,11/16/2018
766,10401,1,10/25/2018
824,10401,9,10/30/2018
767,10402,1,10/24/2018
915,10402,9,11/2/2018
768,10403,1,10/25/2018
871,10403,9,10/31/2018
769,10404,1,10/25/2018
770,10404,9,10/25/2018
772,10405,1,10/24/2018
844,10405,9,10/30/2018
776,10406,1,10/18/2018
804,10406,3,10/29/2018
931,10406,4,11/2/2018
937,10406,9,11/5/2018
777,10407,1,10/24/2018
834,10407,4,10/30/2018
864,10407,1,10/31/2018
943,10407,9,11/5/2018
778,10408,1,10/25/2018
779,10408,4,10/26/2018
1341,10408,9,12/5/2018
784,10409,1,10/26/2018
814,10409,4,10/29/2018
874,10409,9,11/1/2018
787,10410,1,10/24/2018
788,10410,9,10/26/2018
790,10411,1,10/19/2018
791,10411,9,10/26/2018
792,10412,1,10/24/2018
794,10412,4,10/29/2018
1195,10412,1,11/21/2018
1196,10412,3,11/21/2018
1248,10412,9,11/23/2018
822,10413,1,10/29/2018
823,10413,9,10/30/2018
831,10414,1,10/29/2018
1239,10414,3,11/23/2018
1260,10414,9,11/26/2018
832,10415,1,10/29/2018
916,10415,4,11/2/2018
1065,10415,1,11/14/2018
1083,10415,4,11/15/2018
1128,10415,1,11/19/2018
1132,10415,3,11/19/2018
1139,10415,4,11/19/2018
1140,10415,3,11/19/2018
1163,10415,4,11/20/2018
1288,10415,9,11/28/2018
835,10416,1,10/25/2018
855,10416,4,10/30/2018
900,10416,9,11/1/2018
836,10417,2,10/30/2018
838,10417,1,10/30/2018
866,10417,9,10/31/2018
837,10418,2,10/30/2018
839,10418,1,10/30/2018
865,10418,9,10/31/2018
840,10419,2,10/30/2018
843,10419,9,10/30/2018
841,10420,2,10/30/2018
845,10420,9,10/30/2018
842,10421,2,10/30/2018
849,10421,1,10/30/2018
867,10421,9,10/31/2018
847,10422,2,10/30/2018
850,10422,1,10/30/2018
868,10422,9,10/31/2018
848,10423,2,10/30/2018
851,10423,4,10/30/2018
978,10423,9,11/8/2018
853,10424,1,10/25/2018
854,10424,4,10/30/2018
1029,10424,1,11/12/2018
1068,10424,4,11/14/2018
1137,10424,1,11/19/2018
1141,10424,9,11/19/2018
857,10425,1,10/29/2018
911,10425,9,11/2/2018
858,10426,1,10/30/2018
910,10426,9,11/2/2018
873,10427,1,10/31/2018
902,10427,4,11/1/2018
1051,10427,1,11/13/2018
1194,10427,3,11/21/2018
1249,10427,4,11/23/2018
1370,10427,1,12/7/2018
1408,10427,9,12/12/2018
875,10428,2,11/1/2018
876,10428,4,11/1/2018
880,10428,9,11/1/2018
878,10429,1,10/31/2018
879,10429,9,11/1/2018
881,10430,1,10/31/2018
882,10430,4,11/1/2018
